ID,n,Result vector,Average Runtime [ms],Epsilon,Number of unsatisfied clauses
147,20,"1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 0 ",89.9748,0,0
148,20,"1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 ",81.26346,0,0
149,20,"1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 ",79.78156,0,0
15,20,"0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 0 ",79.23424,0,0
150,20,"1 1 1 1 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 ",79.79198,0,0
151,20,"1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 ",87.84614,0,0
152,20,"1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 0 0 ",79.89403999999999,0,0
153,20,"0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 ",81.64784,0,0
154,20,"1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 ",86.58394,0.025890765711665154,0
155,20,"1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 ",83.16686,0.0053571430034935474,0
156,20,"1 1 0 1 1 0 1 1 1 1 1 0 1 0 0 0 1 0 1 1 ",86.28034,0,0
157,20,"0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 0 1 ",83.7792,0,0
158,20,"1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 0 1 0 ",77.54932,0,0
159,20,"1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 ",75.55807999999999,0,0
16,20,"1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 ",78.08579999999999,0,0
160,20,"1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ",85.53702,0,0
161,20,"1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 ",77.39743999999999,0,0
162,20,"1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 ",89.37742,0,0
163,20,"1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ",83.8197,0.006448531057685614,0
164,20,"1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 1 ",76.6052,0,0
165,20,"1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 ",87.20398,0,0
166,20,"0 1 1 1 0 1 1 0 1 1 1 1 0 0 0 1 1 1 1 0 ",80.69972,0,0
167,20,"1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 ",78.96090000000001,0,0
168,20,"1 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 0 ",77.85632000000001,0,0
169,20,"0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 0 0 ",80.75412,0,0
17,20,"1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 ",72.51906,0.010946149937808514,0
170,20,"1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0 ",87.4043,0,0
171,20,"1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 ",86.46652,0,0
172,20,"1 1 1 0 0 1 0 0 0 1 1 1 1 1 1 1 0 1 1 1 ",78.21536,0,0
173,20,"1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 ",82.37125999999999,0,0
174,20,"1 0 1 1 1 1 1 1 0 1 0 1 0 1 0 0 1 1 1 1 ",76.03662,0,0
175,20,"1 1 1 0 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 ",82.10096,0,0
176,20,"1 0 0 1 1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 ",79.75658,0,0
177,20,"0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 ",87.87442,0,0
178,20,"1 0 1 1 1 0 1 1 1 1 1 1 0 1 0 0 1 0 1 1 ",79.20758,0,0
179,20,"1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 ",86.60872,0,0
18,20,"0 1 1 1 1 0 0 0 1 1 1 1 0 1 0 1 1 1 1 1 ",81.87034,0.002294279634952545,0
180,20,"1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 0 0 1 ",77.15366,0,0
181,20,"1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 ",76.71326,0,0
182,20,"0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 ",81.0439,0,0
183,20,"1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0 0 1 0 0 ",80.97904,0,0
184,20,"0 1 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 ",80.31774,0.012711207382380962,0
185,20,"1 1 0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 0 1 1 ",82.28388,0,0
186,20,"0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 ",78.44874,0.024719100445508957,0
187,20,"0 1 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 ",83.33122,0,0
188,20,"1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 0 0 0 ",75.76384,0,0
189,20,"1 0 1 1 0 0 1 0 1 1 1 0 1 0 1 1 1 1 1 0 ",79.81822,0,0
19,20,"0 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 0 ",85.93584,0,0
190,20,"1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 ",117.25576000000001,0,0
191,20,"1 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 ",91.35344,0.006621602922677994,0
192,20,"0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 ",82.9736,0,0
193,20,"1 1 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 1 0 1 ",79.64153999999999,0,0
194,20,"1 1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 ",78.53372,0,0
195,20,"1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 ",90.2431,0.009340659715235233,0
196,20,"1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 0 1 1 ",77.21386,0,0
197,20,"1 1 1 0 0 0 1 1 0 1 0 1 1 1 1 0 0 1 1 1 ",79.76764,0,0
198,20,"1 0 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 ",76.89232,0,0
199,20,"1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 ",86.6793,0,0
2,20,"1 1 1 0 1 1 0 1 0 0 0 1 0 1 1 1 0 1 1 0 ",78.31574,0,0
20,20,"1 1 1 1 1 1 1 1 0 0 1 0 1 0 1 1 1 1 0 1 ",82.1986,0,0
200,20,"1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 1 1 ",87.02516,0.0225656870752573,0
