ID,n,Result vector,Average Runtime [ms],Epsilon,Watched Parameter
1,30,"0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 ",9.52042,0.038343653082847595,
2,30,"1 1 1 1 0 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 0 0 0 1 1 0 1 0 ",8.93352,0.005235766060650349,
3,30,"0 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 0 1 ",6.547759999999999,0,
4,30,"1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ",16.51324,0,
5,30,"1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 ",14.31692,0,
6,30,"1 0 0 1 0 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 1 1 ",12.92534,0,
7,30,"1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 0 ",13.19454,0,
8,30,"1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 ",20.86064,0,
9,30,"0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 ",1.27928,0,
10,30,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ",1.32006,0,
11,30,"0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 ",3.11986,0.004509452730417252,
12,30,"1 1 1 0 1 1 1 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 ",11.85382,0,
13,30,"1 1 1 1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 0 1 0 1 1 0 1 ",9.529399999999999,0,
14,30,"1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 ",15.151259999999999,0.000474664760986343,
15,30,"1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 ",12.07562,0,
16,30,"0 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 ",14.926300000000001,0,
17,30,"1 0 0 1 1 0 0 0 1 1 1 1 1 0 0 0 0 1 1 1 1 1 0 1 1 1 1 1 0 0 ",11.983839999999999,0,
18,30,"0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 1 0 1 1 0 1 1 1 0 1 0 ",10.73078,0,
19,30,"1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 ",19.38382,0,
20,30,"1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 ",20.648159999999997,0,
21,30,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ",1.5458,0,
22,30,"1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 ",19.64538,0,
23,30,"1 1 1 1 1 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 1 1 ",13.42262,0.019830435514450073,
24,30,"0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 1 ",5.84342,0.02174060232937336,
25,30,"0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 1 ",7.2849,0.014479528181254864,
26,30,"1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 ",7.999079999999999,0.013004589825868607,
27,30,"1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ",1.4342599999999999,0,
28,30,"0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 ",2.3263000000000003,0.04290753975510597,
29,30,"1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1 1 ",9.64836,0,
30,30,"1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 ",21.62708,0,
31,30,"1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 ",16.5273,0,
32,30,"0 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 ",10.9419,0,
33,30,"1 1 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 ",3.4415,0,
34,30,"0 1 0 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 0 1 1 0 1 0 1 1 0 0 ",9.9831,0.015256855636835098,
35,30,"1 1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 ",13.70822,0.0031112416181713343,
36,30,"0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 0 ",3.0284,0.02486979216337204,
37,30,"1 1 1 0 1 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 ",6.29652,9.004952880786732E-05,
38,30,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ",1.2795,0,
