ID,n,Result vector,Average Runtime [ms],Restart count,Number of steps,Epsilon,Number of unsatisfied clauses,Best configuration found at,Result Label
1,75,"1 0 1 0 1 1 1 1 0 0 1 0 0 1 1 0 1 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 ",25.3636,1,1950,0,0,1945,
1,75,"1 1 0 1 1 1 0 1 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 0 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 0 0 0 0 0 1 0 1 1 1 0 ",12.9579,0,975,0,0,680,
10,75,"1 0 0 1 1 1 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 1 1 1 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0 1 0 1 1 0 1 0 0 0 1 1 0 1 0 1 1 0 1 0 ",12.0177,0,900,0,0,519,
100,75,"1 1 0 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 0 1 0 1 0 0 1 0 0 0 0 1 ",9.8686,0,750,0,0,449,
11,75,"1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1 ",11.9444,0,900,0,0,856,
12,75,"1 0 1 1 1 1 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 1 0 1 ",11.9802,0,900,0,0,807,
13,75,"0 1 1 0 0 1 0 0 1 1 1 0 1 0 0 0 1 0 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 0 1 0 0 0 1 0 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 1 0 ",11.0822,0,825,0,0,742,
14,75,"1 1 1 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 0 0 1 1 1 1 1 0 1 1 ",14.4245,0,1050,0,0,954,
15,75,"0 1 1 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 0 0 0 1 1 0 0 1 1 1 1 1 0 1 0 0 1 0 1 1 0 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 1 0 1 1 ",13.3015,0,975,0,0,566,
16,75,"0 1 1 1 0 1 1 0 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1 0 1 1 1 0 1 0 1 1 1 1 0 1 ",29.1727,1,2250,0,0,2166,
17,75,"1 0 1 1 0 1 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 ",14.5727,0,1050,0,0,1007,
18,75,"1 0 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 0 0 0 0 1 1 1 1 0 1 ",13.4988,0,975,0,0,501,
19,75,"1 1 0 1 0 1 0 0 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 0 0 1 1 0 1 0 1 1 1 1 0 0 1 0 1 0 0 1 1 1 0 0 1 1 1 1 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 1 ",12.0841,0,900,0,0,834,
